"PlcIndex","Easting","Northing"
"1",478969.165650212,5926333.55053148
"2",574358.51921421,5963684.8921241
"3",512848.944812957,5959247.87840883
"4",515450.973606692,5958359.50237306
"5",521995.444032875,5972014.94357882
"6",519169.421864768,5953366.67612806
"7",494510.937912433,5991807.6873398
"8",442626.496173291,5955656.64314773
"9",478449.566204003,6012531.42640106
"10",483837.124508779,6011211.22231848
"11",541965.926395677,5965908.80336755
"'12-13",546242.097807079,5962333.06282851
"14",638304.097548906,5833258.37475246
"15",663475.127719492,5855716.84490978
"16",653995.337765605,5850458.20673762
"17",653051.055874069,5857788.1972246
"18",689215.900202878,5922739.84339683
"19-25",650450.706448162,5878085.41687092
"26",662903.021076051,5916813.12258135
"27",599570.37764905,5846593.86288224
"28",625108.574049431,5835096.97286681
"29-30",623737.841696526,5831321.34740531
"31",633232.067520761,5820565.08345649
"32",630876.77520051,5833146.14903455
"33",638472.14791433,5823338.45684262
"34",624884.020225323,5822539.97083828
"35",627295.584307214,5826930.17789973
"36-37",611409.377857085,5811674.19383409
"38",620149.120809363,5815002.39063958
"39",666000.899569228,5969228.76399729
"40",661230.979525932,5949945.10346879
"41",634557.722274442,5956062.78973
"42",655599.69651324,5791354.2228809
"43",663106.859941853,5776761.80278759
"44",675740.445489275,5788101.38625072
"45",667472.918421916,5824368.99776117
"46",644475.099406571,5781092.13687069
"47",697451.950004015,5866203.68300025
"48",659796.532688453,5876809.75884839
"49",659535.674509977,5871172.37524638
"50",656921.501547157,5980266.59813575
"51",665420.464559614,5874896.7718405
"52",495733.227123375,5874744.46099313
"53",501299.825104127,5855173.06679604
"54",537227.861719011,5850536.25094691
"55",480414.364665348,5731386.63247255
"56",527456.583718437,5768683.29385399
"57-58",527277.260973353,5770134.43168888
"59-60",537520.231935072,5762322.40964197
"61",543889.566241405,5762188.98445959
"62",537583.008358264,5759047.83387533
"63-64",556636.61826013,5757960.71506234
"65",551748.436227068,5761893.52833086
"66",435382.434626428,5729445.50925136
"67",432052.961715854,5720219.86255644
"68",450828.711187908,5730970.53476888
"69-71",510582.358314353,5725335.39128111
"72",493924.119371034,5735553.80657635
"73-74",503033.875129038,5726375.59008864
"75",487174.177275877,5734299.82041731
"76",507399.725824566,5721560.71557912
"77",499133.818429645,5714079.22664112
"78",531627.95799548,5756442.20798117
"79-80",563495.158357079,5758908.34209117
"81",516428.557347388,5740643.64175461
"82-96",563729.760243804,5764442.3030428
"97-102",526984.665455078,5743160.84719179
"103",512467.110151497,5762814.81778039
"104-105",512102.013852402,5756140.53250398
"106",507714.268239606,5754463.50548987
"107",509193.363571996,5760058.02800759
"108",513047.23047506,5759664.97275334
"109",514459.397646543,5759452.599338
"110-111",511070.83312406,5756323.51717954
"112-117",514133.818418753,5746383.06208425
"118-121",515149.870550993,5758218.82195511
"122-123",511716.335645151,5757807.95342422
"124-126",514854.456219623,5748455.09559109
"127",516686.717227474,5755103.29905026
"128",506234.715040527,5761876.27927925
"129",498168.620130735,5706387.16668541
"130",504931.684769858,5768455.55703665
"131-133",492078.731255023,5744299.45698335
"134",484284.055986839,5741969.82263699
"135",494231.505678756,5752823.45503804
"136",447338.450737,5797900.30792201
"137",450688.767429605,5801635.41974314
"138-140",419493.808383212,5776087.8483838
"141-142",422104.969048598,5776447.95386457
